"","numEscroete","escroete","numConnetablie","connetablie","rdv","numRente","rente"
"325","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","8.2","Sour le maison Jehennain de Carvin et sour le maison Nicholon Des Campiaus, et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Gillion de Bietune, d'une part, et le tenement Jehan le Carlier, d'autre part. "
"326","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","9.3","Sour le maison Jehan Boukehort et sour tout le tenement, aprés le fons de le tiere, demi marc. Si siet entre le tenement Huon de Herenghes, d'une part, et le tenement Pieronnain de Courcieles, d'autre part. "
"327","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","10.4","Sour 3 maisons Huon de Herenghes, ki furent Jehan Lescutier, et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Jehan le Pignier, d'une part, et le tenement Huon de Herenghes, d'autre part, u il maint. "
"328","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","11.5","Sour 2 maisons Jehan de Lewarde, ki furent Gillion Cramete, et sour tout le tenement, aprés le fons de le tiere, marc et demi. Si sient entre le tenement Huon de Herin, d'une part, et le tenement Williaume Ramet, d'autre part. "
"329","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","12.6","Sour le maison Robiert de Fierin et sour tout le tenement, et sour le maison Pieron le Ramet et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Robiert, ki fu vallés Robert d'Estrees, d'une part, et le tenement Sohier Dou Marés, d'autre part. "
"330","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","13.7","Sour le maison Robiert, ki fu vallés Robert d'Estrees, et sour tout le tenement, 2 capons, dou fons de le tiere. Si siet entre le tenement Pieron Ramet, d'une part, et le tenement Jehan Mouton, d'autre part.  "
"331","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","14.8","Sour toutes les maisons Baude l'Artisien et sour tous les tenemens, aprés le fons de le tiere, demi marc. Si sient entre le tenement Symon de Pieronne, d'une part, et le tenement des Malades, d'autre part. "
"332","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","15.9","Sour les maisons Williaume le Veske et sour tous les tenemens, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Mariien le Lienarde, d'une part, et le tenement des Charteriers, d'autre part. "
"333","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","16.10","Sour les maisons Robiert Cierfuel et sour tout le tenement, ki fu Gillion de Valenchienes, aprés le fons de le tiere, 1 ferton. Si sient entre le tenement Jehan de Riencourt, d'une part, et le tenement Lambiert d'Arras, d'autre part. "
"334","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","B","17.11","Sour le maison Uziliien d'Ostricort et sour 3 maisons, ki furent Pieron d'Ostricort, en le rue dou Gardin, et sour tous les tenemens, aprés le fons de le tiere, 1 marc. Si sient entre le tenement Robelee, d'une part. et le tenement Henri Dou Puch, d'autre part.   "
"335","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","A","18.1","Sour 2 maisons, ki furent Gillion Dou Gardin, et sour tous les tenemens, aprés le fons de le tiere, 1 ferton. Si sient entre le tenement Gossart Pourciel, d'une part, et le tenement Watier de Ferin, d'autre part.  "
"336","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","B","19.2","Sour 3 maisons Alain le Panetier et sour tous les tenemens dusque a l'euve, 1 ferton. Si sient entre le tenement Jehan de Viteri, d'une part, et le tenement Jehan Lavendier, d'autre part. "
"337","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","B","20.3","Sour 13 maisons et sour le gardin les 2 sereurs des Lices, et sour tous les tenemens dusques a l'euve, apres le fons de le tiere, 51 s. et 2 d. par. Si sient entre le tenement Jehan Lavendier, d'une part, et le tenement Mikiel Dou Gardin, d'autre part. "
"338","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","3°","En le rue dou Gardin ","B","21.4","Sour 4 maisons Jehan Rousiel ki fu, et sour tous les tenemens dusques a l'eve, 24 s. par., aprés le fons de le tere. Si sient entre le tenement Henri Vingre, d'une part, et le tenement Williaume de Sailli, d'autre part.   "
"339","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","4°","Sour le fosset si c'on va ou Mares Douysien ",NA,"22.1","Sour 4 maisons Jehan Mouton, ki furent veve Toullie, et sour tous les tenemens, 19 s. et 3 d. par., aprés le fons de le tiere. Si sient entre le tenement Polet le Merchier, d'une part, et le tenement Symon Buee, d'autre part. "
"340","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","4°","Sour le fosset si c'on va ou Mares Douysien ",NA,"23.2","Sour le maison Watier Raingot, devant et deriere, et sour tout le tenement, 18 d. douysiens et 6 s. par., dou fons deletiere. Si siet entre le tenement dame Ghillain d'Estrees, d'une part, et le tenement Baude d'Estrees, ki fu Jehan Pilate, d'autre part.  "
"341","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2° bis","Dehuers le porte dou Markiet en le Grant rue ",NA,"24.12","Sour 2 maisons les filles Martin de Dichi et sour tout le tenement, ki sient entre le porte des Freres Menus, d'une part, et le tenement Jakemon le Vakier, d'autre part, aprés le fons de le tiere, 4 mars. "
"342","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2° bis","Dehuers le porte dou Markiet en le Grant rue ",NA,"25.13","Sour le maison Jakemon le Vakier et sour tout le tenement, ki fu Williaume Bysse, ki siet entre le tenement Martin de Dichi ki fu, d'une part, et le tenement Aloy le Barbeteur, d'autre part, aprés le fons de le tiere, demi marc.  "
"343","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","26.1","Sour le maison Ghillain Leureuse, ki fu Mariien le Toiliere, et sour tout le tenement. Si siet entre le tenement Climenchiien de Gaignaing, d'une part, et le tenement Werin Chase Dieu, d'autre part. Aprés le fons de le tiere, 1 ferton. "
"344","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","27.2","Sour le maison Werin Chase Dieu et sour tout le tenement, devant et deriere, ki siet entre le tenement Ghillain Leureuse, d'une part, et le tenement Raoul d'Erchin, d'autre part, aprés le fons de le tiere, marc et demi. "
"345","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","28.3","Sour 2 maisons Raoul d'Erchin et sour tous les tenemens, ki sient entre le tenement Werin Chase Dieu, d'une part, et le tenement Jehan de Franche, d'autre part, ki fu Rikeut Tormente, 4 mars, 6 s. et 10 d. par. "
"346","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","A","29.4","Sour le maison Saintain de Dichi, ki fu les Rumeuses, et sour tout le tenement, ki siet entre le tenement Jehan de Franche, d'une part, et le tenement Alain le Panetier, d'autre part, aprés le fons de le tiere, demi marc.  "
"347","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","5°","En le ruiele Ydain le Cousturiere ","B","30.5","Sour 3 maisons Pieron de Le Cambe et sour tout le tenement, ki fu Aloul le Cambier, ki sient entre le crest dou fosset de le ville, d'une part, et le tenement de le ville, d'autre part. aprés le fons de le tiere, 1/2 marc.   "
"348","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"31.1","Sour le maison Hennin Pourcelet, ki fu Bernart de Lannoi, et sour tout le tenement, ki iet entre le tenement, ki fu Andriu, ki fu vallés segneur Euberi Le Leu, d'une part, et le tenement Jehan de Bapaumes, d'autre part, aprés le fons de le tiere, 1 ferton. "
"349","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"32.2","Sour le maison le prestre des Charteriers et sour le tenement dusques a l'eve, ki siet entre le tenement Werin Barde, d'une part, et le tenement Robiert d'Estrees ki fu, dou fons de le tiere, 1 capon et 3 d. douysiens. "
"350","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"33.3","Sour le maison Gillion Louvri et sour tout le tenement, ki siet entre le tenement Emmelot Boine Broke, d'une part, et le tenement Mariien Louvri, d'autre part, aprés le fons de le tiere, 1 ferton. "
"351","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"34.4","Sour 2 maisons Marotain, feme Sauwalon Painmoulliet ki fu, ki furent Vinçan de Prouvins, et sour tout le tenement, ki sient entre le ruiele Pepin, d'une part, et le tenement maistre Pieron Fauke, d'autre part, aprés le fons de le tiere, marc et demi et 3 s. par. "
"352","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"35.5","Sour le maison maistre Pieron Fauke et sour 2 maisons, ki sient en le ruiele Pepin, et sour tous les tenemens, ki sient entre le tenement Mariien Painmoulliet, d'une part, et le tenement Hennin Chasse Dieu, d'autre part, aprés le fons de le tiere, 2 mars. "
"353","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"36.6","Sour le maison Mehaut le Faveresse et sour tout le tenement dusque a l'eve, ki siet entre le tenement Robiert Cerfuel, d'une part, et le tenement Jehan de Franche, d'autre part, dou fons de le tiere, 4 lb. de douysiens. "
"354","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"37.7","Sour le maison Marotain Painmoulliet et sour le maison Grart Painmoulliet, et sour tous les tenemens dusques a l'eve, ki sient entre le tenement Jehan de Franche, d'une part, et le tenement Mariien le Sourde, d'autre part, aprés le fons de le tiere, demi marc. "
"355","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"38.8","Sour le maison Mariien le Sourde et sour tout le tenement, ki siet entre le tenement Grart Painmoulliet, d'une part, et le tenement Hennin le Hugier, d'autre part, aprés le fons de le tiere, 3 fertons. "
"356","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","6°","En l'atre Nostre Dame ",NA,"39.9","Sour les maisons Hennin le Hugier et sour tous les tenemens, ki sient entre le tenement Marien le Sourde, d'une part, et un autre tenement Marien le Sourde, d'autre part, si c'on va a Barllet sour le fosset, aprés le fons de le tiere, 1/2 marc.  "
"357","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","7°","Sour le fosset si c'on va a Barllet ","A","40.1","Sour 2 maisons Margot le Merchiere et sour tous les tenemens, ki sient entre le tenement de le ville, d'une part, et le tenement Gillion le Rogier, d'autre part, aprés le fons de le tiere, 1/2 marc.  "
"358","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","7°","Sour le fosset si c'on va a Barllet ","B","41.2","Sour 4 maisons Aalis Audegon et sour tous les tenemens, ki sient entre le tenement Gillion le Rogier, d'une part, et le wide place sour le fosset de le ville, d'autre part, aprés le fons de le tiere, 3 mars.   "
"359","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","A","42.1","Sour le maison Pieron Langeville, et sour le maison Jehan de Haveskerke, et sour le maison Sarain de Lannoit, et sour tous les tenemens. Si sont ces 3 maisons tout d'un tenement. Si sient entre le tenement Simon Malet, d'une part, et le tenement Sarain de Lannoit, d'autre part, aprés le fons de le tiere, 5 fertons et 3 capons.  "
"360","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","B","43.2","Sour 4 maisons Jehan Dou Bos et sour tous les tenemens, ki sient entre le fosset de le ville, d'une part, et le tenement Richart Pourciel, d'autre part, 12 douysiens et un capon, dou fons de le tiere. "
"361","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","B","44.3","Sour le maison Godin et sour tout le tenement, ki siet entre le tenement Richart Pourciel, d'une part, et le tenement Juliane le Daulee, d'autre part, demi ferton et un capon, dou fons de le tiere. "
"362","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","8°","En le rue Pepin ","B","45.4","Sour 2 maisons les enfans Jakemon de Prouvins ki fu et sour tous les tenemens, ki sient entre le tenement Mariien le Sebyle, d'une part, et le tenement Agniés Dou Riés, d'autre part, demi marc.   "
"363","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","A","46.1","Sour les maisons Jehan de Sym, ki furent Climent le Tondeur, et sour tous les tenemens, ki sient entre le tenement les enfans Leurenc Loure, d'une part, et le tenement Climent le Wantier, d'autre part, aprés le fons de le tiere, 5 fertons et 2 capons, dou fons de le tiere. "
"364","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","A","47.2","Sour les maisons Jehan de Sym, ki furent Williaume le Tourneur, et sour tous les tenemens, ki sient entre le tenement Jehan de Sym, d'une part, et le tenement Bauduin le Soieur, d'autre part, demi ferton, dou fons de le tiere. "
"365","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","A","48.3","Sour 2 maisons Bauduin le Soieur et sour tous les tenemens, ki sient entre le tenement Jehan de Sym, d'une part, et le tenement Ysabiel de Hainnau, marc et demi et demi ferton, dou fons de le tiere.  "
"366","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","49.4","Sour le maison Wistasse le Wantier et sour le tenement dusques a l'eve, ki siet entre le tenement Grart Leleu, d'une part, et le tenement Enmain de Barlet, d'autre part, aprés le fons de le tiere, marc et demi. "
"367","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","50.5","Sour les maisons Williaume de Barlet et sour tous les tenemens dusques a l'eve, ki sient entre le tenement Huon de Sym, d'une part, et le tenement Robiert Graviel, d'autre part, aprés le fons de le tiere 1 marc. "
"368","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","51.6","Sour le maison ki fu Huon d'Oysi et sour 2 maisons Jehan le Carlier, ki sient entre le tenement Colart le Bourgois, ki fu Grart de Mastaing, d'une part, et le tenement Robiert Graviel, u les maisons sont abatues, d'autre part. aprés le fons de le tiere, 3 fertons. "
"369","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","9°","A Barllet, sour le place ","B","52.7","Sour 2 maisons Robiert le Blont et Bridain, se ni[e]ce, et sour tous les tenemens, et sour 3 maisons Symon Malet, ki furent Baudes d'Estrees et sour tous les tenemens, ki sient entre le tenement maistre Evrart Goulet, d'une part, et le tenement de l'ospital des Wés, d'autre part, aprés le fons de le tiere, demi marc.   "
"370","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","53.1","Sour le maison Saintain, feme Pieron Chevalier ki fu, et sour tout le tenement, ki siet entre le porte dou Ma[r]kiet, d'une part, et le tenement ki fu Jakemon le Gontier, d'autre part, 3 mars; a prendre ce marc en 9 mars tout avant, ke Agniés Dou Riés i a. "
"371","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","54.2","Sour le maison le femme Pieron d'Aubi, ki fu Jakemon le Gontier, et sour tout le tenement, ki siet entre le tenement Saintain le Chevaliere, d'une part, et le tenement Jehan de Le Cavene, ki fu Symon le Carlier, d'autre part, 3 fertons. "
"372","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","10°","Devens le porte dou Markiet ","A","55.3","Sour le maison Jehan de Le Cavene, ki fu Symon le Carlier, et sour tout le tenement, ki siet entre le tenement le feme Pieron d'Aubi, ki fu Jakemon le Gontier, d'une part, et le tenement Colart le Rikier, ki fu Waubiert Baudenne, d'autre part, 6 mars et 3 fertons. "
